cipher score order iop    ratio latency    energy
c8+c20 1.25  rnd   512k-w 3     0.0212146  0.0
c20    1.5   rnd   512k-w 0     0.0214551  0.00730518
c20+ff 1.625 rnd   512k-w 1     0.0687840  0.0497582
c20+ff 1.75  rnd   512k-w 2     0.0630776  0.0489952
c20+ff 1.875 rnd   512k-w 3     0.0871858  0.0772429
ff     2.0   rnd   512k-w 0     0.117399   0.0655874
ff+fb  2.125 rnd   512k-w 1     0.236493   0.196669
ff+fb  2.25  rnd   512k-w 2     0.268155   0.200103
ff+fb  2.375 rnd   512k-w 3     0.296057   0.239269
fb     2.5   rnd   512k-w 0     0.298997   0.235732
fb+fs  2.625 rnd   512k-w 1     0.834838   0.749266
fb+fs  2.75  rnd   512k-w 2     0.812705   0.800621
fb+fs  2.875 rnd   512k-w 3     1.0        1.0
fs     3.0   rnd   512k-w 0     0.943714   0.945913
c8     0.5   seq   512k-w 0     0.0        0.0133442
c8+c20 0.75  seq   512k-w 1     0.0317156  0.0409499
c8+c20 1.0   seq   512k-w 2     0.0154338  0.0352023
c8+c20 1.25  seq   512k-w 3     0.0360775  0.0
c20    1.5   seq   512k-w 0     0.0345486  0.0298571
c20+ff 1.625 seq   512k-w 1     0.0754246  0.0724933
c20+ff 1.75  seq   512k-w 2     0.0595257  0.0577000
c20+ff 1.875 seq   512k-w 3     0.0801061  0.0605463
ff     2.0   seq   512k-w 0     0.117313   0.0858016
ff+fb  2.125 seq   512k-w 1     0.256546   0.230745
ff+fb  2.25  seq   512k-w 2     0.220186   0.197901
ff+fb  2.375 seq   512k-w 3     0.268685   0.222298
fb     2.5   seq   512k-w 0     0.327461   0.276516
fb+fs  2.625 seq   512k-w 1     0.823336   0.772877
fb+fs  2.75  seq   512k-w 2     0.747277   0.756261
fb+fs  2.875 seq   512k-w 3     0.905440   0.899183
fs     3.0   seq   512k-w 0     1.0        1.0
c8     0.5   rnd   5m-r   0     0.0        0.0
c8+c20 0.75  rnd   5m-r   1     0.00308504 0.0651446
c8+c20 1.0   rnd   5m-r   2     0.0106429  0.201766
c8+c20 1.25  rnd   5m-r   3     0.0131680  0.211763
c20    1.5   rnd   5m-r   0     0.0169362  0.0245159
c20+ff 1.625 rnd   5m-r   1     0.0375431  0.442224
c20+ff 1.75  rnd   5m-r   2     0.0316855  0.521817
c20+ff 1.875 rnd   5m-r   3     0.0461375  0.617529
ff     2.0   rnd   5m-r   0     0.105183   0.608851
ff+fb  2.125 rnd   5m-r   1     0.157037   0.745534
ff+fb  2.25  rnd   5m-r   2     0.141024   0.694509
ff+fb  2.375 rnd   5m-r   3     0.157050   0.818142
fb     2.5   rnd   5m-r   0     0.289864   0.833094
fb+fs  2.625 rnd   5m-r   1     0.494426   0.909290
fb+fs  2.75  rnd   5m-r   2     0.427696   0.959974
fb+fs  2.875 rnd   5m-r   3     0.530240   0.994081
fs     3.0   rnd   5m-r   0     1.0        1.0
c8     0.5   seq   5m-r   0     0.00839248 000317658
